title,genres,director,cast,overview,keywords
Inception,Sci-Fi Action Thriller,Christopher Nolan,Leonardo DiCaprio Joseph Gordon-Levitt Elliot Page,A thief who steals corporate secrets through dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO.,dreams heist mind-bending subconscious
The Dark Knight,Action Crime Drama,Christopher Nolan,Christian Bale Heath Ledger Aaron Eckhart,Batman faces the Joker a criminal mastermind who plunges Gotham into anarchy.,superhero crime batman joker gotham
Interstellar,Sci-Fi Drama Adventure,Christopher Nolan,Matthew McConaughey Anne Hathaway Jessica Chastain,A team of explorers travel through a wormhole in space to ensure humanity's survival.,space time travel wormhole nasa
The Prestige,Drama Mystery Thriller,Christopher Nolan,Christian Bale Hugh Jackman Scarlett Johansson,Two stage magicians engage in a battle to create the ultimate illusion.,magic rivalry obsession illusion
Memento,Mystery Thriller,Christopher Nolan,Guy Pearce Carrie-Anne Moss,A man with short-term memory loss attempts to track down his wife's murderer.,memory loss revenge nonlinear
The Matrix,Sci-Fi Action,Lana Wachowski,Keanu Reeves Laurence Fishburne Carrie-Anne Moss,A hacker learns the true nature of reality and his role in the war against its controllers.,simulation hacker reality dystopia
The Matrix Reloaded,Sci-Fi Action,Lana Wachowski,Keanu Reeves Laurence Fishburne Carrie-Anne Moss,Neo and his allies race against time to stop machines from destroying Zion.,simulation rebellion machines sequel
John Wick,Action Crime Thriller,Chad Stahelski,Keanu Reeves Michael Nyqvist Alfie Allen,An ex-hitman comes out of retirement to track down the gangsters that killed his dog.,assassin revenge hitman underworld
Avengers Endgame,Action Adventure Sci-Fi,Anthony Russo,Robert Downey Jr Chris Evans Scarlett Johansson,The Avengers assemble once more to reverse the damage caused by Thanos.,superhero team-up time-travel infinity-stones
Avengers Infinity War,Action Adventure Sci-Fi,Anthony Russo,Robert Downey Jr Chris Evans Josh Brolin,The Avengers must stop Thanos from collecting all the Infinity Stones.,superhero villain infinity-stones cosmic
Iron Man,Action Adventure Sci-Fi,Jon Favreau,Robert Downey Jr Gwyneth Paltrow Jeff Bridges,A billionaire industrialist builds a powered suit of armor to fight evil.,superhero technology billionaire origin-story
Guardians of the Galaxy,Action Adventure Comedy,James Gunn,Chris Pratt Zoe Saldana Dave Bautista,A group of intergalactic misfits must band together to save the galaxy.,space team-up comedy adventure
Titanic,Romance Drama,James Cameron,Leonardo DiCaprio Kate Winslet Billy Zane,A love story unfolds aboard the ill-fated RMS Titanic.,romance tragedy ship historical
Avatar,Sci-Fi Adventure Fantasy,James Cameron,Sam Worthington Zoe Saldana Sigourney Weaver,A paraplegic marine is sent to the moon Pandora and becomes torn between orders and protecting the world he feels is home.,alien planet colonization nature
The Terminator,Sci-Fi Action,James Cameron,Arnold Schwarzenegger Linda Hamilton,A cyborg assassin is sent back in time to kill a woman whose son will lead humanity's fight against machines.,cyborg time-travel robots apocalypse
Forrest Gump,Drama Romance,Robert Zemeckis,Tom Hanks Robin Wright,The presidencies of Kennedy and Johnson unfold from the perspective of an Alabama man with an low IQ.,life-story destiny historical friendship
Cast Away,Drama Adventure,Robert Zemeckis,Tom Hanks Helen Hunt,A FedEx executive must transform himself physically and emotionally to survive after being stranded on a deserted island.,survival isolation island shipwreck
The Shawshank Redemption,Drama Crime,Frank Darabont,Tim Robbins Morgan Freeman,Two imprisoned men bond over years finding solace and eventual redemption.,prison friendship hope redemption
The Green Mile,Drama Fantasy Crime,Frank Darabont,Tom Hanks Michael Clarke Duncan,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder who has a mysterious gift.",prison supernatural death-row miracle
Pulp Fiction,Crime Drama,Quentin Tarantino,John Travolta Uma Thurman Samuel L. Jackson,The lives of two mob hitmen a boxer a gangster and his wife intertwine in tales of violence and redemption.,nonlinear crime dialogue gangster
Kill Bill,Action Crime Thriller,Quentin Tarantino,Uma Thurman David Carradine,A former assassin wakes from a coma and sets out on a roaring rampage of revenge.,revenge assassin martial-arts sword
Django Unchained,Western Drama,Quentin Tarantino,Jamie Foxx Christoph Waltz Leonardo DiCaprio,A freed slave sets out to rescue his wife from a brutal plantation owner.,slavery revenge western bounty-hunter
Inglourious Basterds,War Drama,Quentin Tarantino,Brad Pitt Melanie Laurent Christoph Waltz,A group of Jewish soldiers plot to assassinate Nazi leaders during WWII.,wwii revenge nazis guerrilla
The Godfather,Crime Drama,Francis Ford Coppola,Marlon Brando Al Pacino James Caan,The aging patriarch of an organized crime dynasty transfers control to his reluctant son.,mafia family power crime-family
The Godfather Part II,Crime Drama,Francis Ford Coppola,Al Pacino Robert De Niro,The early life of Vito Corleone and the continued story of his son Michael.,mafia family power legacy
Apocalypse Now,War Drama,Francis Ford Coppola,Marlon Brando Martin Sheen Robert Duvall,A captain is sent to assassinate a renegade colonel during the Vietnam War.,war jungle madness vietnam
Goodfellas,Crime Drama Biography,Martin Scorsese,Robert De Niro Ray Liotta Joe Pesci,The story of Henry Hill and his life in the mob.,mafia crime-family biography rise-and-fall
The Wolf of Wall Street,Crime Drama Comedy,Martin Scorsese,Leonardo DiCaprio Jonah Hill Margot Robbie,A stockbroker recounts his corrupt rise to wealth and its excesses.,wall-street fraud excess biography
